Subsegmento,Sexo,Region,Edad,Renta,Antiguedad,Internauta,Adicional,Dualidad,Monoproducto,Ctacte,Consumo,Hipotecario,Debito,Cuentas,TC,CUPO_L1,CUPO_L2,CUPO_MX,FlgAct_T12,FlgActCN_T12,FlgActCI_T12,FlgActAN_T12,FlgActAI_T12,FlgActPAT_T12,FlgActCCPC_T12,FlgActCCOT_T12,FlgActCOL_T12,Fac_T12,Txs_T12,FacCN_T12,TxsCN_T12,FacCI_T12,TxsCI_T12,FacAN_T12,TxsAN_T12,FacAI_T12,TxsAI_T12,FacPAT_T12,TxsPAT_T12,FacCCPC_T12,TxsCCPC_T12,FacCCOT_T12,TxsCCOT_T12,FacCOL_T12,TxsCOL_T12,FacDebCom_T12,TxsDebCom_T12,FacDebAtm_T12,TxsDebAtm_T12,Col_T12,ColL1TE_T12,PagoNac_T12,PagoInt_T12,EeccNac_T12,EeccInt_T12,UsoL1_T12,UsoL2_T12,UsoLI_T12,target
170,M,13.0,48,1330631.8,78,0,0,0,0,1,0,0,0,1,1,650000,1.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162505.0,10.0,80000.0,1.0,49743.0,200.0,67450.0,0.0,67904.0,0.0,458.1,92184.0,0.0,0
170,M,12.0,51,915738.0,27,0,0,0,0,1,0,0,1,1,1,500000,1000.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140363.0,0.0,261655.0,0.0,-117300.0,0.0,-117300.0,112188.0,0.0,0
170,H,13.0,36,1951542.0,7,1,0,1,0,1,0,0,1,2,2,2000000,400000.0,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
170,M,13.0,49,860000.0,60,1,1,0,0,1,0,0,1,1,3,1920000,240000.0,1270.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,231381.0,3.0,175900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55481.0,2.0,0.0,0.0,175900.0,1.0,0.0,0.0,208740.0,6.0,607000.0,15.0,55481.0,0.0,42069.0,0.0,0.0,0.0,4495.0,176608.0,0.0,0
170,H,13.0,44,1014542.0,38,1,0,0,0,1,0,1,1,1,1,750000,2264384.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104670.0,7.0,376000.0,7.0,0.0,0.0,86903.0,0.0,338.0,0.0,338.0,0.0,0.0,0
170,M,13.0,41,656020.6,152,0,0,0,1,0,0,0,0,1,1,3588994,1.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,8474.0,0.0,50.0,-0.61,50.0,0.0,-0.61,0
170,M,13.0,50,661022.0,10,1,0,1,0,1,0,0,1,2,2,1000000,200000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160,M,6.0,47,348590.0,36,0,0,0,0,1,0,0,1,1,1,862500,490000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,68538.0,5.0,68538.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62840.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,244000.0,5.0,502785.0,0.0,67481.0,0.0,67481.0,0.0,0.0,510821.0,0.0,0
160,H,11.0,49,382624.0,21,0,0,1,0,1,0,0,1,2,2,700000,140000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,176524.0,3.0,176524.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163524.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229005.0,693.0,46400.0,0.0,94029.0,0.0,94029.0,247816.0,0.0,0
170,H,8.0,46,1086489.0,10,1,0,1,0,1,0,0,1,2,2,1400000,280000.0,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
170,M,13.0,39,1169226.0,28,1,0,0,0,1,0,0,1,1,1,500000,100000.0,500.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,253413.0663,5.0,235920.0,4.0,17493.0663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,213930.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329708.07,154939.0,150000.0,0.0,278191.0,32.43,279007.0,260392.0,32.43,1
170,M,13.0,44,704837.0,24,1,0,1,0,1,0,0,1,2,2,2160000,200000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663310.0,18.0,1252000.0,10.0,0.0,0.0,0.0,0.0,-1065.0,0.0,-1065.0,0.0,0.0,0
170,H,13.0,48,1460006.0,19,1,0,0,0,1,0,0,1,1,1,500000,1000.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,1.0,8000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411808.0,30.0,141000.0,7.0,505396.0,465251.0,30000.0,0.0,532121.0,0.0,532121.0,0.0,0.0,0
170,H,13.0,47,714579.0,38,1,0,0,0,1,0,0,1,1,1,1218000,1.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25977.0,3.0,13067.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12910.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19577.0,0.0,19577.0,0.0,0.0,0.0,6400.0,0.0,0.0,0
170,H,13.0,47,816117.0,26,1,1,0,0,1,0,0,1,1,2,832000,80000.0,400.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64661.0,7.0,64661.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33078.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,142000.0,2.0,89461.0,0.0,58000.0,0.0,71380.0,0.0,86380.0,49634.0,0.0,0
170,H,13.0,47,958047.0,75,0,1,1,0,1,0,0,0,2,3,2520000,1740000.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,407860.0,2.0,407860.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407860.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319016.0,0.0,391701.0,0.0,319481.0,0.0,319481.0,804166.0,0.0,0
160,M,9.0,46,402549.0,27,0,0,1,0,1,0,0,1,2,2,1000000,200000.0,2000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43000.0,1.0,43000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43000.0,1.0,0.0,0.0,0.0,0.0,61540.0,6.0,0.0,0.0,1073676.0,990247.0,63000.0,0.0,1093822.0,0.0,1093822.0,82415.0,0.0,1
160,H,10.0,35,474696.0,23,0,0,1,0,1,0,0,1,3,3,1575000,320000.0,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2390000.0,26.0,61679.0,0.0,438856.0,0.0,10522.0,0.0,10522.0,54959.0,0.0,0
